,content
292,"Vị lãnh đạo đầu tiên bị Thủ tướng kỷ luật.. 🙁🙁

Vị lãnh đạo đầu tiên bị Thủ tướng kỷ luật.. 🙁🙁

CANHCO.NET
Thủ tướng ký quyết định kỷ luật Phó chủ tịch UBND tỉnh Sơn La
Thủ tướng quyết định thi hành kỷ luật bằng hình thức khiển trách đối với ông Lê Hồng Minh, Phó chủ tịch UBND tỉnh Sơn La, nhiệm kỳ 2016 - 2021. Văn

CANHCO.NET
Thủ tướng ký quyết định kỷ luật Phó chủ tịch UBND tỉnh Sơn La"
293,"Trong ảnh là Chủ tịch Thành phố Hà Nội Chu Ngọc Anh ra tận xe tiễn các cán bộ, bác sỹ lên đường chi viện cho Bắc Giang. Không quan cách, không trên dưới, chỉ có sự chân tình.
Vẫn như bao năm trước. Mỗi khi đất… More nước có khó khăn là nhân dân đồng lòng, anh em đồng sức, mỗi người dân là một chiến sỹ, mỗi thôn xóm là một pháo đài, toàn dân cùng chống lại kẻ thù, dù là thiên địch hay giặc ngoại xâm.
Bắc Giang cố lên, Việt Nam cố lên. Chúng ta sẽ chiến thắng!

Trong ảnh là Chủ tịch Thành phố Hà Nội Chu Ngọc Anh ra tận xe tiễn các cán bộ, bác sỹ lên đường chi viện cho Bắc Giang. Không quan cách, không trên dưới, chỉ có sự chân tình.

Vẫn như bao năm trước. Mỗi khi đất nước có khó khăn là nhân dân đồng lòng, anh em đồng sức, mỗi người dân là một chiến sỹ, mỗi thôn xóm là một pháo đài, toàn dân cùng chống lại kẻ thù, dù là thiên địch hay giặc ngoại xâm.

Bắc Giang cố lên, Việt Nam cố lên. Chúng ta sẽ chiến thắng!

"
294,"Di chuyển bằng Grab không vậy nát rồi.. 🙁🙁
Chị này có dấu hiệu nhiễm bệnh nhưng tự mua thuốc uống rồi đi chơi, đi làm đẹp ở nhiều nơi trong trung tâm TP các quận 1, 3, 7..

Di chuyển bằng Grab không vậy nát rồi.. 🙁🙁

Chị này có dấu hiệu nhiễm bệnh nhưng tự mua thuốc uống rồi đi chơi, đi làm đẹp ở nhiều nơi trong trung tâm TP các quận 1, 3, 7..

CANHCO.NET
Ca dương tính Covid-19 ở Q.7 di chuyển nhiều nơi trong thành phố
Người phụ nữ 34 tuổi đến Hải Phòng ở từ ngày 24/4 đến 5/5, về TP HCM đi làm tại công ty, đến tiệm làm tóc, trước khi phát hiện dương tính nCoV tối 18/5.

CANHCO.NET
Ca dương tính Covid-19 ở Q.7 di chuyển nhiều nơi trong thành phố"
295,"Người dân Bắc Giang cảm ơn y bác sĩ Quảng Ninh về giúp chống dịch
Đêm khuya về tới khách sạn, phát hiện tấm băng rôn với dòng chữ cảm ơn căng ngang cửa, đoàn y bác sĩ Quảng Ninh chợt cảm thấy ""bao mệt mỏi của… More một ngày tan biến"".
Tấm băng rôn với nội dung: ""Cảm ơn đoàn chuyên viên y tế Quảng Ninh giúp Bắc Giang chống dịch. Người dân Bắc Giang biết ơn các bạn"", được treo trước của khách sạn Hương Sơn, TP Bắc Giang.
""Đêm 16/5, khi xe về tới khách sạn thì một thành viên trong đoàn bỗng reo lên, chỉ về tấm băng rôn. Cả ngày đi làm thực sự rất mệt, nhưng nhận được món quà tinh thần đó, cả nhóm phấn khởi quên đi mọi nỗi vất vả"", nữ điều dưỡng Lưu Huệ Phương, một trong 200 nhân viên y tế của Bệnh… More

Người dân Bắc Giang cảm ơn y bác sĩ Quảng Ninh về giúp chống dịch

Đêm khuya về tới khách sạn, phát hiện tấm băng rôn với dòng chữ cảm ơn căng ngang cửa, đoàn y bác sĩ Quảng Ninh chợt cảm thấy ""bao mệt mỏi của một ngày tan biến"".

Tấm băng rôn với nội dung: ""Cảm ơn đoàn chuyên viên y tế Quảng Ninh giúp Bắc Giang chống dịch. Người dân Bắc Giang biết ơn các bạn"", được treo trước của khách sạn Hương Sơn, TP Bắc Giang.

""Đêm 16/5, khi xe về tới khách sạn thì một thành viên trong đoàn bỗng reo lên, chỉ về tấm băng rôn. Cả ngày đi làm thực sự rất mệt, nhưng nhận được món quà tinh thần đó, cả nhóm phấn khởi quên đi mọi nỗi vất vả"", nữ điều dưỡng Lưu Huệ Phương, một trong 200 nhân viên y tế của Bệnh…

+9"
296,"Thế này lại liên quan tới các trường Đại học rồi, khổ quá 😥

Thế này lại liên quan tới các trường Đại học rồi, khổ quá 😥

CANHCO.NET
Hơn 10 sinh viên ở cùng nơi với ca mắc Covid-19 tại Chung cư Sunview Town
Liên quan đến ca mắc Covid-19 tại TP.HCM, đại diện của hai trường ĐH tại TP.HCM cho biết hơn 10 sinh viên đang lưu trú tại khu chưng cư nơi bệnh nhân này

CANHCO.NET
Hơn 10 sinh viên ở cùng nơi với ca mắc Covid-19 tại Chung cư Sunview Town"
297,"Người này mặc quân phục, nói chuyện thu hút nhiều thành phần bất hảo. Tất cả chỉ tại anh bạn ""quý"" cho mượn đồ.

Người này mặc quân phục, nói chuyện thu hút nhiều thành phần bất hảo. Tất cả chỉ tại anh bạn ""quý"" cho mượn đồ.

CANHCO.NET
Về chuyện giang hồ mạng mặc quân phục ngồi livestream
Việc Tiến bịp (tên thật là Nguyễn Thành Long) khoác lên mình bộ quân phục rồi livestream, bản chất để câu view, nói chuyện ba hoa trên mạng xã hội mà

CANHCO.NET
Về chuyện giang hồ mạng mặc quân phục ngồi livestream"
298,"Ây za.. thêm 1 ca nữa, cô đồng nghiệp của ca ở Thủ Đức.. ☹☹

Ây za.. thêm 1 ca nữa, cô đồng nghiệp của ca ở Thủ Đức.. ☹☹

CANHCO.NET
NÓNG: Phát hiện thêm 1 ca Covid-19 ở quận 7
Nguồn tin từ Sở Y tế TP.HCM tối 18-5 xác nhận vừa ghi nhận thêm 1 ca dương tính COVID-19, là đồng nghiệp của ca dương tính ở Thủ Đức. Cũng theo nguồn tin

CANHCO.NET
NÓNG: Phát hiện thêm 1 ca Covid-19 ở quận 7"
299,"Người đàn ông này đã đăng một bức ảnh bày tỏ sự vui mừng khi lần đầu tiên được đi xe buýt do một người phụ nữ lái.
-Và ... 20 phút sau anh ấy xuất bản một bức ảnh khác! 😢😂

Người đàn ông này đã đăng một bức ảnh bày tỏ sự vui mừng khi lần đầu tiên được đi xe buýt do một người phụ nữ lái.
-Và ... 20 phút sau anh ấy xuất bản một bức ảnh khác! 😢😂

"
300,"Hóa ra 4 công an quận Đồ Sơn ""làm án"" thả 25 đối tượng được cho 30 triệu đồng. Nghe lời kể của Thiếu tá Khoa về qúa trình tố cáo cấp trên mà sởn cả gai ốc.

Hóa ra 4 công an quận Đồ Sơn ""làm án"" thả 25 đối tượng được cho 30 triệu đồng. Nghe lời kể của Thiếu tá Khoa về qúa trình tố cáo cấp trên mà sởn cả gai ốc.

CANHCO.NET
Cựu Thiếu tá chia sẻ “góc khuất lạnh người” sau khi 4 công an quận Đồ Sơn bị bắt
Sau khi 4 cán bộ Công an quận Đồ Sơn bị bắt vì làm sai lệch hồ sơ, nguyên Thiếu tá Trịnh Khoa tiết lộ những góc khuất ""chạy án"", ""chia tiền"" và ""mua

CANHCO.NET
Cựu Thiếu tá chia sẻ “góc khuất lạnh người” sau khi 4 công an quận Đồ Sơn bị bắt"
301,"Dở rồi, Covid-19 lan đến cả Bộ GTVT rồi 😬 Lo quá bà con 😥

Dở rồi, Covid-19 lan đến cả Bộ GTVT rồi 😬 Lo quá bà con 😥

CANHCO.NET
Trụ sở Bộ GTVT có ca nghi mắc Covid-19, nhân viên “bất động”
Từ 15h30 ngày 18/5, cán bộ, nhân viên làm việc tại trụ sở Bộ GTVT được yêu cầu không ra ngoài. Cơ quan này vừa phát hiện ca nghi mắc nCoV làm việc tại

CANHCO.NET
Trụ sở Bộ GTVT có ca nghi mắc Covid-19, nhân viên “bất động”"
302,"""Báo sạch"" nhưng làm việc ""không sạch""...Mọi thứ đều có giá của nó 👍

""Báo sạch"" nhưng làm việc ""không sạch""...Mọi thứ đều có giá của nó 👍

CANHCO.NET
Công an Cần Thơ đề nghị truy tố Trương Châu Hữu Danh và 3 bị can
Cơ quan An ninh điều tra cho hay các bị can thừa nhận nhiều bài viết sử dụng thông tin chưa được kiểm chứng, không đúng sự thật khiến người đọc hiểu nhầm.

CANHCO.NET
Công an Cần Thơ đề nghị truy tố Trương Châu Hữu Danh và 3 bị can"
303,"Kỷ luật cảnh cáo, điều chuyển vẫn chưa xong đâu.Vẫn còn xử lý tiếp, chúng ta hãy đợi xem!

Kỷ luật cảnh cáo, điều chuyển vẫn chưa xong đâu.Vẫn còn xử lý tiếp, chúng ta hãy đợi xem!

CANHCO.NET
Giám đốc Công an Hà Nội nói gì về việc kỷ luật Đại úy đứng nhìn tài xế vật lộn với cướp?
Trong khi dư luận cho rằng Công an huyện Thanh Oai (Hà Nội) kỷ luật cảnh cáo, điều chuyển công tác đại úy Nguyễn Văn Lâm chưa phù hợp, cơ quan chức năng

CANHCO.NET
Giám đốc Công an Hà Nội nói gì về việc kỷ luật Đại úy đứng nhìn tài xế vật lộn với cướp?"
304,"Nét đẹp đô thị Đà Nẵng những ngày giãn cách, khi mà sự vắng bóng của hoạt động con người và xe cộ đã làm không khí trở nên trong lành và thời tiết trở nên dễ chịu hơn bao giờ hết.

Nét đẹp đô thị Đà Nẵng những ngày giãn cách, khi mà sự vắng bóng của hoạt động con người và xe cộ đã làm không khí trở nên trong lành và thời tiết trở nên dễ chịu hơn bao giờ hết.

+12"
305,"Con người ai không có lúc sai lầm, dư luận cho rằng phải đuổi ra khỏi ngành liệu có nặng quá không?! 🙁🙁

Con người ai không có lúc sai lầm, dư luận cho rằng phải đuổi ra khỏi ngành liệu có nặng quá không?! 🙁🙁

CANHCO.NET
Bộ Công an nói về hình thức kỷ luật đại úy công an đứng nhìn tài xế taxi bắt cướp
Dư luận xã hội cho rằng, mức kỷ luật cảnh cáo và điều chuyển công tác đối với đại úy công an đứng nhìn tài xế taxi vật lộn với kẻ sát nhân là còn nhẹ,

CANHCO.NET
Bộ Công an nói về hình thức kỷ luật đại úy công an đứng nhìn tài xế taxi bắt cướp"
306,"Cận cảnh công an Nghệ An nổ súng, quật ngã bắt tội phạm m.a t.úy có vũ khí nóng

Cận cảnh công an Nghệ An nổ súng, quật ngã bắt tội phạm m.a t.úy có vũ khí nóng

This content isn't available right now
When this happens, it's usually because the owner only shared it with a small group of people, changed who can see it or it's been deleted."
307,"Mọi người có tin đây là tỷ phú Việt Nam không?

Mọi người có tin đây là tỷ phú Việt Nam không?

"
308,"Rốt cuộc anh này bị lây từ đâu?! ☹☹
Bác sĩ thông tin bất ngờ về ca dương tính ở TP.HCM:

Rốt cuộc anh này bị lây từ đâu?! ☹☹

Bác sĩ thông tin bất ngờ về ca dương tính ở TP.HCM:

CANHCO.NET
Ca dương tính với Covid-19 ở TP HCM ‘khả năng mới nhiễm’
Kết quả xét nghiệm khẳng định trưa 18/5 người đàn ông 35 tuổi ở Thủ Đức dương tính. Phân tích các yếu tố lâm sàng, HCDC nhận định ca này nhiều khả năng

CANHCO.NET
Ca dương tính với Covid-19 ở TP HCM ‘khả năng mới nhiễm’"
309,"Nhiều người la lối chửi bới chia sẻ ầm ầm hình ảnh một người được cho là công an bấm điện thoại trong khi tài xế taxi bắt cướp. Thậm chí một số người ở hải ngoại (chưa bao giờ đóng thuế) còn kêu gào chửi cả… More ngành công an, là tiền thuế, cứ như trời sập đến nơi vậy... vân vân mây mây.
Đúng! thằng đó không xứng đáng là công an! Nhưng tại sao họ lại không nói đến tiền thuế khi xem những hình ảnh này? Cận Cảnh Công An Bắt M.a T.úy Kinh khủng kia. Và biết bao chiến sĩ công an đã anh dũng ngã xuống mà không có một ống kính nào kịp ghi lại?

Nhiều người la lối chửi bới chia sẻ ầm ầm hình ảnh một người được cho là công an bấm điện thoại trong khi tài xế taxi bắt cướp. Thậm chí một số người ở hải ngoại (chưa bao giờ đóng thuế) còn kêu gào chửi cả ngành công an, là tiền thuế, cứ như trời sập đến nơi vậy... vân vân mây mây.
Đúng! thằng đó không xứng đáng là công an! Nhưng tại sao họ lại không nói đến tiền thuế khi xem những hình ảnh này? Cận Cảnh Công An Bắt M.a T.úy Kinh khủng kia. Và biết bao chiến sĩ công an đã anh dũng ngã xuống mà không có một ống kính nào kịp ghi lại?

Play Video"
310,"Quyết định đột xuất nhưng hợp lý, là một bài học cảnh tỉnh cho đại úy Lâm.

Quyết định đột xuất nhưng hợp lý, là một bài học cảnh tỉnh cho đại úy Lâm.

CANHCO.NET
Điều chuyển công tác Đại uý công an đứng gọi điện thoại để mặc tài xế vật lộn với cướp
Công an huyện Thanh Oai (Hà Nội) quyết định kỷ luật cảnh cáo, điều chuyển Đại uý Nguyễn Văn Lâm về Đội Cảnh sát thi hành án hình sự và hỗ trợ tư pháp công

CANHCO.NET
Điều chuyển công tác Đại uý công an đứng gọi điện thoại để mặc tài xế vật lộn với cướp"
311,"Trong ảnh là Chủ tịch Thành phố Hà Nội Chu Ngọc Anh ra tận xe tiễn 20 cán bộ, bác sỹ lên đường chi viện cho Bắc Giang. Không quan cách, không trên dưới, chỉ có sự chân tình.
Vẫn như bao năm trước. Mỗi khi đất… More nước có khó khăn là anh em đồng lòng, đồng sức, mỗi người dân là một chiến sỹ, mỗi thôn xóm là một pháo đài, toàn dân cùng chống lại kẻ thù, dù là thiên địch hay giặc ngoại xâm.
Bắc Giang cố lên, Việt Nam cố lên. Chúng ta sẽ chiến thắng!

Trong ảnh là Chủ tịch Thành phố Hà Nội Chu Ngọc Anh ra tận xe tiễn 20 cán bộ, bác sỹ lên đường chi viện cho Bắc Giang. Không quan cách, không trên dưới, chỉ có sự chân tình.

Vẫn như bao năm trước. Mỗi khi đất nước có khó khăn là anh em đồng lòng, đồng sức, mỗi người dân là một chiến sỹ, mỗi thôn xóm là một pháo đài, toàn dân cùng chống lại kẻ thù, dù là thiên địch hay giặc ngoại xâm.

Bắc Giang cố lên, Việt Nam cố lên. Chúng ta sẽ chiến thắng!

"
312,"METRO số 5 sẽ là tuyến metro đầu tiên do Việt Nam là chủ từ thiết kế, xây dựng, sản xuất tàu, vận hành bảo dưỡng.?
TP Hà Nội kiến nghị Thủ tướng đầu tư tuyến metro số 5 Văn Cao - Hòa Lạc. tổng mức đầu tư… More khoảng 65.400 tỉ đồng từ ngân sách thành phố, khởi công năm 2022.
Chiều dài toàn tuyến metro số 5 là 38km.trong đó có 6 ga ngầm, 14 ga trên mặt đất, 1 ga trên cao. Do đi ngầm và nằm trên đất quy hoạch sẵn nên chi phí GPMB chỉ khoảng 400 tỉ.
Bên cạnh đó, Hà Nội kiến nghị Thủ tướng giao TP lập dự án đầu tư xây dựng nhà máy lắp ráp và chế tạo toa xe phục vụ công tác phát triển hệ thống đường sắt đô thị, từng bước chủ động và giảm dần sự phụ thuộc vào yếu tố nước ngoài
TP Hà Nội dự kiến khai thác 25 - 40 đoàn tàu 4 - 6 toa trên tuyến metro số 5, vận tốc thiết kế tuyến 120 km/h và 90 km/h đối với các đoạn đi ngầm, thời gian chờ tàu khoảng 3,3 phút.
Vs 65.000 tỉ Đây là 1 dự án táo bạo ko chỉ là xây dựng metro mà còn tham vọng làm chủ dc công nghệ sản xuất, xây dựng tàu điện đô thị, góp phần xây dựng hoàn chỉnh mạng lưới tàu đô thị cho Hà Nội cũng như Quốc gia.

METRO số 5 sẽ là tuyến metro đầu tiên do Việt Nam là chủ từ thiết kế, xây dựng, sản xuất tàu, vận hành bảo dưỡng.?

TP Hà Nội kiến nghị Thủ tướng đầu tư tuyến metro số 5 Văn Cao - Hòa Lạc. tổng mức đầu tư khoảng 65.400 tỉ đồng từ ngân sách thành phố, khởi công năm 2022.

Chiều dài toàn tuyến metro số 5 là 38km.trong đó có 6 ga ngầm, 14 ga trên mặt đất, 1 ga trên cao. Do đi ngầm và nằm trên đất quy hoạch sẵn nên chi phí GPMB chỉ khoảng 400 tỉ.

Bên cạnh đó, Hà Nội kiến nghị Thủ tướng giao TP lập dự án đầu tư xây dựng nhà máy lắp ráp và chế tạo toa xe phục vụ công tác phát triển hệ thống đường sắt đô thị, từng bước chủ động và giảm dần sự phụ thuộc vào yếu tố nước ngoài

TP Hà Nội dự kiến khai thác 25 - 40 đoàn tàu 4 - 6 toa trên tuyến metro số 5, vận tốc thiết kế tuyến 120 km/h và 90 km/h đối với các đoạn đi ngầm, thời gian chờ tàu khoảng 3,3 phút.

Vs 65.000 tỉ Đây là 1 dự án táo bạo ko chỉ là xây dựng metro mà còn tham vọng làm chủ dc công nghệ sản xuất, xây dựng tàu điện đô thị, góp phần xây dựng hoàn chỉnh mạng lưới tàu đô thị cho Hà Nội cũng như Quốc gia.

+2"
313,"Mọi người chú ý! Nếu đúng như vậy thì TPHCM đã có mầm bệnh trong cộng đồng rồi !! Ra đường cần thực hiện đúng nguyên tắc 7K.. Hạn chế tụ tập đông người

Mọi người chú ý! Nếu đúng như vậy thì TPHCM đã có mầm bệnh trong cộng đồng rồi !! Ra đường cần thực hiện đúng nguyên tắc 7K.. Hạn chế tụ tập đông người

CANHCO.NET
Ca dương tính với Covid-19 ở chung cư Thủ Đức không ra khỏi TP.HCM trong 30 ngày qua
Người dương tính với Covid-19 tại TP Thủ Đức làm tại công ty chuyên về kiểm toán và không ra khỏi địa bàn TP.HCM trong 1 tháng gần đây. Trung tâm Kiểm

CANHCO.NET
Ca dương tính với Covid-19 ở chung cư Thủ Đức không ra khỏi TP.HCM trong 30 ngày qua"
314,"ĐẲNG CẤP NGƯỜI NÔNG DÂN VIỆT NAM.
P/s: Không biết khi nhìn thấy hình ảnh này những kẻ đang sống và hưởng thụ sự thanh bình của đất nước nhưng lại ngày đêm tìm trăm phương, ngàn kế hô hào chống, phá Cuộc bầu cử Đại biểu Quốc hội khóa XV và Đại biểu HĐND các cấp sẽ suy nghĩ gì? và có thấy xấu hổ không?

ĐẲNG CẤP NGƯỜI NÔNG DÂN VIỆT NAM.

P/s: Không biết khi nhìn thấy hình ảnh này những kẻ đang sống và hưởng thụ sự thanh bình của đất nước nhưng lại ngày đêm tìm trăm phương, ngàn kế hô hào chống, phá Cuộc bầu cử Đại biểu Quốc hội khóa XV và Đại biểu HĐND các cấp sẽ suy nghĩ gì? và có thấy xấu hổ không?

"
315,"2 ngày ngoài cộng đồng mà phạt hiện 30 ca dương tính

2 ngày ngoài cộng đồng mà phạt hiện 30 ca dương tính

CANHCO.NET
Bắc Giang: 30 mẫu gộp dương tính COVID-19, những người được xét nghiệm đang ở cộng đồng
Các mẫu này được lấy cách đây 2 ngày. Ban quản lý các khu công nghiệp tỉnh Bắc Giang đề nghị các địa phương khẩn trương rà soát, đưa những

CANHCO.NET
Bắc Giang: 30 mẫu gộp dương tính COVID-19, những người được xét nghiệm đang ở cộng đồng"
316,"Ai đó bên Bển rất hay nói ""chế độ nào thì công dân ấy""
Chỉ cần một clip học trò đánh nhau thì hàng chục ngàn người lao vào chửi bới, chia sẻ. Trong khi những việc làm có giáo dục như thế này thì không thấy họ chia sẻ lan tỏa để giáo dục thế hệ trẻ sống tốt hơn ! Cộng đồng mạng đang chạy theo cái gì vậy ?

Ai đó bên Bển rất hay nói ""chế độ nào thì công dân ấy""
Chỉ cần một clip học trò đánh nhau thì hàng chục ngàn người lao vào chửi bới, chia sẻ. Trong khi những việc làm có giáo dục như thế này thì không thấy họ chia sẻ lan tỏa để giáo dục thế hệ trẻ sống tốt hơn ! Cộng đồng mạng đang chạy theo cái gì vậy ?

CANHCO.NET
Nhóm nam sinh lớp 11 Thái Bình trả lại 50 triệu nhặt được bên đường
Nhóm học sinh lớp 11 Trường THPT Phụ Dực (huyện Quỳnh Phụ, tỉnh Thái Bình) trên đường đi chơi về nhặt được bọc tiền gồm 100 tờ tiền mệnh giá 500.000 đồng

CANHCO.NET
Nhóm nam sinh lớp 11 Thái Bình trả lại 50 triệu nhặt được bên đường"
317,"NÓNG: TP.HCM PHÁT HIỆN 1 CA DƯƠNG TÍNH, TOÀN BỘ BLOCK CHUNG CƯ ĐÃ ĐƯỢC PHONG TỎA

NÓNG: TP.HCM PHÁT HIỆN 1 CA DƯƠNG TÍNH, TOÀN BỘ BLOCK CHUNG CƯ ĐÃ ĐƯỢC PHONG TỎA

CANHCO.NET
TPHCM: Phát hiện ca dương tính Covid-19 trong cộng đồng, sống trong chung cư tại TP.Thủ Đức
Cơ quan chức năng TPHCM vừa xác định một trường hợp bệnh nhân dương tính với SARS-CoV-2, sinh sống trong một chung cư ở TP Thủ Đức. Sáng 18/5, thông tin

CANHCO.NET
TPHCM: Phát hiện ca dương tính Covid-19 trong cộng đồng, sống trong chung cư tại TP.Thủ Đức"
318,"Lại thêm một thương vụ chấn động thị trường Việt Nam... Chuẩn bị bảng xếp hạng tỷ phú có thay đổi lớn !

Lại thêm một thương vụ chấn động thị trường Việt Nam... Chuẩn bị bảng xếp hạng tỷ phú có thay đổi lớn !

CANHCO.NET
Alibaba chi 400 triệu USD mua cổ phần của công ty ‘vua’ tiêu dùng-bán lẻ Việt Nam
The CrownX (nền tảng tiêu dùng bán lẻ hợp nhất lợi ích của Masan tại Masan Consumer Holdings và VinCommerce) hôm nay công bố hợp tác cùng Alibaba và

CANHCO.NET
Alibaba chi 400 triệu USD mua cổ phần của công ty ‘vua’ tiêu dùng-bán lẻ Việt Nam"
319,"Đừng mãi #trontim mà quên Ngày Bầu cử vào Chủ nhật 23/05 này nhé mọi người ơi 😁
#canhco #Baucu2021

Đừng mãi #trontim mà quên Ngày Bầu cử vào Chủ nhật 23/05 này nhé mọi người ơi 😁

#canhco #Baucu2021

"
320,"Một góc khu Nam Cần Thơ được quy hoạch và đầu tư hạ tầng bài bản
Nguồn: Benten Flying

Một góc khu Nam Cần Thơ được quy hoạch và đầu tư hạ tầng bài bản

Nguồn: Benten Flying

"
321,"Tiếp sau Bạc Liêu và Bến Tre, thì tỉnh Hậu Giang sắp có dự án điện gió hơn 3.200 tỷ đồng
UBND tỉnh Hậu Giang vừa có văn bản gửi Bộ Công Thương, Tập đoàn Điện lực Việt Nam cùng nhà đầu tư liên quan đến dự án… More nhà máy điện gió Long Mỹ 1.
Cụ thể, dự án nhà máy điện gió Long Mỹ 1 đặt tại các xã Lương Tâm, Lương Nghĩa, Vĩnh Viễn, Vĩnh Viễn A (huyện Long Mỹ, tỉnh Hậu Giang). Mục tiêu dự án là sản xuất điện gió, truyền tải và mua bán điện.
Công suất thiết kế 100MW; đấu nối bằng đường dây 220kV mạch kép về trạm 220kV Cà Mau - Ô Môn. Sản lượng điện (dự kiến) 291.377 MWh/năm. Công nghệ áp dụng là tua-bin gió biến động năng của gió thành cơ năng quay máy phát điện để chuyển thành điện năng… Tổng vốn đầu tư (dự kiến) 3.220 tỷ đồng.
#CanhCo

Tiếp sau Bạc Liêu và Bến Tre, thì tỉnh Hậu Giang sắp có dự án điện gió hơn 3.200 tỷ đồng

UBND tỉnh Hậu Giang vừa có văn bản gửi Bộ Công Thương, Tập đoàn Điện lực Việt Nam cùng nhà đầu tư liên quan đến dự án nhà máy điện gió Long Mỹ 1.

Cụ thể, dự án nhà máy điện gió Long Mỹ 1 đặt tại các xã Lương Tâm, Lương Nghĩa, Vĩnh Viễn, Vĩnh Viễn A (huyện Long Mỹ, tỉnh Hậu Giang). Mục tiêu dự án là sản xuất điện gió, truyền tải và mua bán điện.

Công suất thiết kế 100MW; đấu nối bằng đường dây 220kV mạch kép về trạm 220kV Cà Mau - Ô Môn. Sản lượng điện (dự kiến) 291.377 MWh/năm. Công nghệ áp dụng là tua-bin gió biến động năng của gió thành cơ năng quay máy phát điện để chuyển thành điện năng… Tổng vốn đầu tư (dự kiến) 3.220 tỷ đồng.

#CanhCo

"
322,"Đến mức này rồi cơ à 🤔

Đến mức này rồi cơ à 🤔

CANHCO.NET
Ông Duterte cấm nội các thảo luận công khai về Biển Đông
Tổng thống Rodrigo Duterte của Philippines đã cấm các thành viên nội các thảo luận công khai vấn đề Biển Đông, sau những chỉ trích mạnh mẽ của các bộ

CANHCO.NET
Ông Duterte cấm nội các thảo luận công khai về Biển Đông"
323,"Càng thương em bao nhiêu càng phẫn uất những kẻ thiếu ý thức, mang dịch bệnh reo rắc khắp nơi

Càng thương em bao nhiêu càng phẫn uất những kẻ thiếu ý thức, mang dịch bệnh reo rắc khắp nơi

Bàn Long Ký sự
May 18 at 1:32 AM ·
HÌNH ẢNH MỘT EM NHỎ TRONG KHU CÁCH LY Ở ĐIỆN BIÊN
Nhìn em chắc ít ai cầm lòng được. Đáng lẽ giờ này em nên đi học, vui chơi chứ không phải trong bộ đồ bảo hộ kín mít và bí bách như thế.
Mong mọi người hãy ý… More thức và tuân thủ các biện pháp chống dịch của Nhà nước. Để các em không phải chịu cảnh như thế này nữa, các em còn quá nhỏ để đương đầu với làn sóng dịch Covid-19.



Bàn Long Ký sự
May 18 at 1:32 AM ·
HÌNH ẢNH MỘT EM NHỎ TRONG KHU CÁCH LY Ở ĐIỆN BIÊN
Nhìn em chắc ít ai cầm lòng được. Đáng lẽ giờ này em nên đi học, vui chơi chứ không phải trong bộ đồ bảo hộ kín mít và bí bách như thế.
Mong mọi người hãy ý… More thức và tuân thủ các biện pháp chống dịch của Nhà nước. Để các em không phải chịu cảnh như thế này nữa, các em còn quá nhỏ để đương đầu với làn sóng dịch Covid-19.

Bàn Long Ký sự
May 18 at 1:32 AM ·

HÌNH ẢNH MỘT EM NHỎ TRONG KHU CÁCH LY Ở ĐIỆN BIÊN

Nhìn em chắc ít ai cầm lòng được. Đáng lẽ giờ này em nên đi học, vui chơi chứ không phải trong bộ đồ bảo hộ kín mít và bí bách như thế.

Mong mọi người hãy ý thức và tuân thủ các biện pháp chống dịch của Nhà nước. Để các em không phải chịu cảnh như thế này nữa, các em còn quá nhỏ để đương đầu với làn sóng dịch Covid-19."
324,"Thôi xong, nguyên cả gia đình bị dính Covid-19. Những ca bệnh này đang chờ Bộ Y tế thông báo... 🙁

Thôi xong, nguyên cả gia đình bị dính Covid-19. Những ca bệnh này đang chờ Bộ Y tế thông báo... 🙁

CANHCO.NET
Con trai 3 tuổi cùng bố đẻ của nguyên GĐ Hacinco và nữ giúp việc dương tính Covid-19
Sáng ngày 18/5, CDC Hà Nội thông tin về việc ghi nhận thêm 6 ca dương tính với SARS-CoV-2, trong đó có 3 trường hợp liên quan đến cựu Giám đốc Công ty

CANHCO.NET
Con trai 3 tuổi cùng bố đẻ của nguyên GĐ Hacinco và nữ giúp việc dương tính Covid-19"
325,"Cấp bách lắm rồi, Ủng hộ Thủ tướng và Chính phủ mua vaccine Pfizer của Mỹ

Cấp bách lắm rồi, Ủng hộ Thủ tướng và Chính phủ mua vaccine Pfizer của Mỹ

CANHCO.NET
Mua vắc xin Pfizer là ‘yêu cầu cấp bách’, Thủ tướng chỉ đạo lấy ý kiến trước 9h sáng 18-5
Bộ Y tế báo cáo việc mua vắc xin Pfizer có khó khăn, nên Thủ tướng Phạm Minh Chính yêu cầu gửi xin ý kiến thành viên Chính phủ đến trước 9h sáng ngày 18-5

CANHCO.NET
Mua vắc xin Pfizer là ‘yêu cầu cấp bách’, Thủ tướng chỉ đạo lấy ý kiến trước 9h sáng 18-5"
